id,move_id,pokemon_id
407,95,120
408,106,120
409,94,120
410,52,120
411,52,121
412,26,122
413,33,122
414,72,123
415,84,123
416,69,124
417,60,124
418,33,124
419,56,124
420,19,124
421,97,124
422,17,124
423,72,125
424,100,125
425,99,125
426,98,125
427,39,126
428,42,126
429,86,126
430,44,126
431,104,127
432,84,127
433,95,128
434,89,128
435,73,128
436,96,128
437,95,129
438,95,130
439,18,130
440,52,130
441,53,130
442,106,131
443,19,131
444,55,131
445,52,131
446,33,132
447,95,133
448,72,133
449,18,133
450,96,133
451,95,134
452,72,134
453,106,134
454,18,134
455,52,134
456,95,135
457,72,135
458,100,135
459,98,135
460,66,135
461,32,135
462,95,136
463,72,136
464,39,136
465,18,136
466,43,136
467,73,136
468,44,136
469,95,137
470,70,137
471,102,137
472,106,138
473,51,138
474,88,138
475,52,138
476,106,139
477,51,139
478,88,139
479,52,139
480,79,140
481,12,140
482,84,140
483,52,140
484,79,141
485,12,141
486,84,141
487,52,141
488,108,142
489,18,142
490,96,142
491,53,142
492,49,143
493,19,143
494,34,143
495,53,143
496,65,144
497,55,144
498,17,144
499,100,145
500,36,145
501,98,145
502,65,146
503,43,146
504,82,146
505,109,147
506,83,147
507,53,147
508,109,148
509,83,148
510,53,148
511,109,149
512,83,149
513,53,149
514,94,150
515,71,150
516,69,151
517,63,151
518,71,151
519,95,1
520,105,1
521,74,1
522,87,1
523,95,2
524,105,2
525,74,2
526,87,2
527,28,3
